ticker,company,price,marketCap,need,r1_score,reason
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,25.1901,29862396198.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,25.64,30395744301.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,25.271,29958301647.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AEM,Agnico Eagle Mines Limited Common Stock,224.11,113749495262.0,materials,23,"R1: need alignment below threshold (score 3/30, need=materials)"
AGNT,AGNT Inc. Common Stock,4.56,762057793.0,shelter,26,"R1: need alignment below threshold (score 8/30, need=shelter)"
API,Agora Inc. American Depositary Shares,4.12,348345088.0,software,27,"R1: need alignment below threshold (score 12/30, need=software)"
ADC,Agree Realty Corporation Common Stock,74.32,9243870319.0,shelter,28,"R1: need alignment below threshold (score 8/30, need=shelter)"
AHRT,AH Realty Trust Inc. Common Stock,6.79,506486416.0,shelter,26,"R1: need alignment below threshold (score 8/30, need=shelter)"
AIHZF,Ai Holdings Corporation,15.12,805490560.0,conglomerate,30,"R1: need alignment below threshold (score 12/30, need=conglomerate)"
AIFC,AI Financial Corporation Common Stock,0.642,89775040.0,finance,15,"R1: need alignment below threshold (score 3/30, need=finance)"
AINHF,Ai-Media Technologies Limited,0.1918,40467300.0,discretionary,13,"R1: need alignment below threshold (score 4/30, need=discretionary)"
AAIGF,AIA Group Limited,9.75,100455612416.0,finance,25,"R1: need alignment below threshold (score 5/30, need=finance)"
AIAI,AIAI Holdings Corporation Class A Common Stock,4.29,303143232.0,conglomerate,27,"R1: need alignment below threshold (score 12/30, need=conglomerate)"
AIBGY,AIB Group plc,25.91,27129065472.0,finance,25,"R1: need alignment below threshold (score 5/30, need=finance)"
AIB,AIB Data Centers Inc. Common Stock,1.3,98773306.0,finance,15,"R1: need alignment below threshold (score 3/30, need=finance)"
IAUFF,AIC Mines Limited,0.6,478571936.0,materials,18,"R1: need alignment below threshold (score 3/30, need=materials)"
AIKCF,"Aica Kogyo Company, Limited",23.69,1499000448.0,conglomerate,30,"R1: need alignment below threshold (score 12/30, need=conglomerate)"
AICHF,Aichi Steel Corporation,13.0,835208384.0,shelter,36,"R1: need alignment below threshold (score 18/30, need=shelter)"
ADERY,"Aida Engineering, Ltd.",66.75,362989824.0,infrastructure,30,"R1: need alignment below threshold (score 15/30, need=infrastructure)"
AIFU,AIFU Inc. Class A Ordinary Share,24.8,153157509.0,finance,21,"R1: need alignment below threshold (score 6/30, need=finance)"
AIMFF,Aimia Inc.,2.0,176451472.0,infrastructure,31,"R1: need alignment below threshold (score 16/30, need=infrastructure)"
