ticker,company,listing
DNEMF,Dunelm Group plc,otc
ICPVF,Dyno Nobel Limited,otc
EONGY,E.ON SE,sec_only
EJPRF,East Japan Railway Company,otc
ESYJY,easyJet plc,sec_only
EBCOY,Ebara Corporation,otc
EBOSY,EBOS Group Limited/ADR,sec_only
NONE.,"EBR Systems, Inc.",sec_only
EDRVY,EDP Renewables S.A./ADR,sec_only
EDEMY,eDreams ODIGEO S.A.,otc
EFGIF,EFG International AG,otc
EFGSY,Eiffage SA,otc
ESALF,"Eisai Co., Ltd.",otc
EPWDF,"Electric Power Development Co., Ltd.",otc
EYUUF,Electricity Generating Public Company Limited,otc
EYUBY,Electricity Generating Public Co Limited/ADR,sec_only
ELRXF,AB Electrolux (publ),otc
EKTAY,Elekta AB (publ),otc
ELFTY,Element Fleet Management Corp./ADR,sec_only
ELMUY,Elisa Oyj,otc
ELLKF,Ellaktor S.A.,otc
ELLRY,ElringKlinger AG,otc
OSSUY,Embla Medical hf.,otc
EMCGF,Embrace Change Acquisition Corp.,sec_only
EMICF,Emera Incorporated,otc
ENGGY,"Enagás, S.A.",otc
EBBGF,Enbridge Inc.,otc
EBGEF,Enbridge Inc.,otc
EBRZF,Enbridge Inc.,otc
ENBFF,Enbridge Inc.,otc
ENBHF,Enbridge Inc.,otc
ENBMF,Enbridge Inc.,otc
ENBNF,Enbridge Inc.,otc
ENBRF,Enbridge Inc.,otc
ENNPF,Enbridge Inc.,otc
ENBGF,Enbridge Inc,otc
ENBOF,Enbridge Inc,otc
ELEZY,"Endesa, S.A.",otc
ESOCF,Enel SpA,otc
JXHLY,"ENEOS Holdings, Inc.",otc
EGRAY,Energy Resources of Australia Ltd,otc
ENGQF,Engie SA,otc
GMVHY,Entain Plc,otc
EPIAF,Epiroc AB (publ),otc
EPIPF,Epiroc AB (publ),otc
EPOBY,Epiroc AB (publ),otc
STOHF,Equinor ASA,otc
ERMAY,ERAMET S.A.,otc
ERDAF,ERDA RESOURCE OPPORTUNITIES INC,otc
EBKOF,Erste Group Bank AG,otc
GMBL,"ESPORTS ENTERTAINMENT GROUP, INC.",sec_only
ESLOF,EssilorLuxottica Société anonyme,otc
ERCLY,Eurocell plc,otc
EUXTF,Euronext N.V.,otc
EUTLF,Eutelsat Communications S.A.,otc
CAHPF,Evolution Mining Limited/ADR,sec_only
EVGGF,Evolution AB (publ),otc
EVKIF,Evonik Industries AG/ADR,sec_only
XELAP,"Exela Technologies, Inc.",otc
FANUY,Fanuc Corporation,otc
FRCOY,"Fast Retailing Co., Ltd.",otc
FBDHF,FBD Holdings plc,otc
FDCT,"FDCTECH, INC.",sec_only
FEEXF,Ferrexpo plc,otc
FQVTY,Fevertree Drinks PLC,otc
FLMNY,Fielmann Group AG,otc
FITY,"Fifty 1 Labs, Inc.",sec_only
FXCNY,FIH Mobile Ltd,sec_only
FNBKY,FinecoBank Banca Fineco S.p.A.,otc
FNIGY,Finning International Inc./ADR,sec_only
FBNC,First Bancorp Common Stock,exchange
FPAFF,First Pacific Company Limited,otc
FRCCL,First Republic Bank,otc
FRCHL,First Republic Bank,otc
FRCIL,First Republic Bank,otc
FRCJL,First Republic Bank,otc
FRCKL,First Republic Bank,otc
FRCLL,First Republic Bank,otc
FRCML,First Republic Bank,otc
FTROF,First Resources Limited,otc
FANDF,FirstRand Limited,otc
FLIDY,FLSMIDTH & CO. A/S,sec_only
VIAAY,Flughafen Wien Aktiengesellschaft,otc
FLGZY,Flughafen Zürich AG,otc
FLDAY,"Fluidra, S.A.",otc
FMOCY,"Fomento de Construcciones y Contratas, S.A.",otc
FBOHF,Forbo Holding AG,otc
FRTSF,Fortis Inc.,otc
FTRSF,Fortis Inc.,otc
FOJCF,Fortum Oyj,otc
FAURY,Forvia SE,otc
FOSUF,Fosun International Limited,otc
FOXO,FOXO TECHNOLOGIES INC.,sec_only
FPRUY,Fraport AG,otc
FRTAF,freenet AG,otc
FRQN,"Frequency Holdings, Inc",sec_only
FSNUY,Fresenius SE & Co. KGaA,sec_only
FRVWY,Friedrich Vorwerk Group SE,otc
NFEI,"New Frontier Energy, Inc.",otc
FRGY,Frontier Energy Corporation,otc
FUPBY,Fuchs SE,otc
FUPEF,Fuchs SE,otc
