ticker,company,price,marketCap,exchange,quoteType
TYHOY,Toyota Tsusho Corporation,23.5696,49768439808.0,PNK,EQUITY
LNVGY,Lenovo Group Limited,79.86,49762193408.0,PNK,EQUITY
CRZBF,Commerzbank AG,46.0,49718968320.0,PNK,EQUITY
ORANY,Orange S.A.,18.66,49594068992.0,PNK,EQUITY
AMKBY,A.P. Møller - Mærsk A/S,17.16,49509339136.0,PNK,EQUITY
UCBJF,UCB SA,259.59,49494097920.0,PNK,EQUITY
CTPCY,CITIC Limited,8.5,49453449216.0,PNK,EQUITY
ELEZY,"Endesa, S.A.",24.19,49273507840.0,PNK,EQUITY
HCMLY,Holcim AG,17.75,49089855488.0,PNK,EQUITY
LNVGF,Lenovo Group Limited,3.95,48998404096.0,PNK,EQUITY
SWRAY,Swire Pacific Limited,13.5,48976924672.0,PNK,EQUITY
GDERF,Galderma Group AG,210.0,48969678848.0,PNK,EQUITY
BSQKZ,"Block, Inc.",81.0,48664395776.0,PNK,EQUITY
HCMLF,Holcim AG,87.4,48343138304.0,PNK,EQUITY
AMKBF,A.P. Møller - Mærsk A/S,3350.0,48326422528.0,PNK,EQUITY
DNBBY,DNB Bank ASA,33.69,48062853120.0,PNK,EQUITY
WOPEF,Woodside Energy Group Ltd,22.32,47838687232.0,PNK,EQUITY
ANYYY,"Aena S.M.E., S.A.",15.85,47550001152.0,PNK,EQUITY
ANNSF,"Aena S.M.E., S.A.",31.1,47473631232.0,PNK,EQUITY
MSADF,"MS&AD Insurance Group Holdings, Inc.",33.0,47319252992.0,PNK,EQUITY
CNSWY,Constellation Software Inc.,11.11,47087579136.0,PNK,EQUITY
DRPRF,Dr. Ing. h.c. F. Porsche AG,51.65,47053152256.0,PNK,EQUITY
CNSWF,Constellation Software Inc.,2218.9,47021883392.0,PNK,EQUITY
DRPRY,Dr. Ing. h.c. F. Porsche AG,5.08,46278799360.0,PNK,EQUITY
CODYY,Compagnie de Saint-Gobain S.A.,9.43,46167306240.0,PNK,EQUITY
AMKAF,A.P. Møller - Mærsk A/S,3200.0,46162554880.0,PNK,EQUITY
DNBBF,DNB Bank ASA,32.1,45794525184.0,PNK,EQUITY
HNHAF,"Hon Hai Precision Industry Co., Ltd.",3.25612,45669306368.0,PNK,EQUITY
MSADY,"MS&AD Insurance Group Holdings, Inc.",31.8,45598552064.0,PNK,EQUITY
PTPIF,PT Chandra Asri Pacific Tbk,0.5267,45540851712.0,PNK,EQUITY
ERBKY,Eurobank S.A.,12.68,45497257984.0,PNK,EQUITY
PSKOF,Orlen S.A.,39.08,45369618432.0,PNK,EQUITY
VLKAF,Volkswagen AG,89.0,45275865088.0,PNK,EQUITY
FMXUF,"Fomento Económico Mexicano, S.A.B. de C.V.",12.15,45050310656.0,PNK,EQUITY
TYHOF,Toyota Tsusho Corporation,42.37,44733235200.0,PNK,EQUITY
SVKEF,Skandinaviska Enskilda Banken AB (publ),22.95,44664438784.0,PNK,EQUITY
CODGF,Compagnie de Saint-Gobain S.A.,91.0,44551692288.0,PNK,EQUITY
PBCRY,PT Bank Central Asia Tbk,9.06,44517855232.0,PNK,EQUITY
HLNCF,Haleon plc,5.05,44415934464.0,PNK,EQUITY
JDCMF,"JD.com, Inc.",16.25,44389171200.0,PNK,EQUITY
SWDBF,Swedbank AB (publ),39.5,44386729984.0,PNK,EQUITY
MAHMF,Mahindra & Mahindra Limited,36.95,44368166912.0,PNK,EQUITY
STMEF,STMicroelectronics N.V.,49.27,43951648768.0,PNK,EQUITY
SWDBY,Swedbank AB (publ),39.13,43970957312.0,PNK,EQUITY
GMGSF,Goodman Group,21.5,43963052032.0,PNK,EQUITY
PPCCY,PICC Property and Casualty Company Limited,49.0,43595816960.0,PNK,EQUITY
VWAGY,Volkswagen AG,8.67,43462299648.0,PNK,EQUITY
SMTOY,"Sumitomo Electric Industries, Ltd.",6.94,43301150720.0,PNK,EQUITY
GFIOF,Gold Fields Limited,48.6,43297570816.0,PNK,EQUITY
ORXCF,ORIX Corporation,39.81,43241463808.0,PNK,EQUITY
TEVJF,Teva Pharmaceutical Industries Limited,37.0,43115958272.0,PNK,EQUITY
VLKPF,Volkswagen AG,86.0,43111391232.0,PNK,EQUITY
HNDAF,"Honda Motor Co., Ltd.",10.96,42667462656.0,PNK,EQUITY
VWAPY,Volkswagen AG,8.51,42660229120.0,PNK,EQUITY
BMDPF,Banca Monte dei Paschi di Siena S.p.A.,13.91,42264395776.0,PNK,EQUITY
TLLXY,Talanx AG,75.0,42067447808.0,PNK,EQUITY
EQBBF,EQT AB (publ),36.0,42010468352.0,PNK,EQUITY
DTGHF,Daimler Truck Holding AG,54.9,41735700480.0,PNK,EQUITY
LGRDY,Legrand SA,31.84,41730371584.0,PNK,EQUITY
KMTUF,Komatsu Ltd.,46.95,41718784000.0,PNK,EQUITY
PWCDF,Power Corporation of Canada,66.25,41586954240.0,PNK,EQUITY
DTRUY,Daimler Truck Holding AG,27.32,41538043904.0,PNK,EQUITY
KMTUY,Komatsu Ltd.,46.7,41496641536.0,PNK,EQUITY
SMTOF,"Sumitomo Electric Industries, Ltd.",13.3,41491738624.0,PNK,EQUITY
ASAZY,ASSA ABLOY AB (publ),18.64,41409740800.0,PNK,EQUITY
PRYMF,Prysmian S.p.A.,141.2,41265598464.0,PNK,EQUITY
PRYMY,Prysmian S.p.A.,70.58,41253908480.0,PNK,EQUITY
DSCSY,Disco Corporation,38.03,41250275328.0,PNK,EQUITY
JPPHY,"Japan Post Holdings Co., Ltd.",14.67,41168670720.0,PNK,EQUITY
BMPSY,Banca Monte dei Paschi di Siena S.p.A.,13.53,41109798912.0,PNK,EQUITY
